KpiId,PeriodEnd,ExpectedValue,Approved,ApprovedBy,ApprovedOn,Note
KPI-001,2026-12-31,500,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2027-12-31,1000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2028-12-31,1500,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2029-12-31,2000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2030-12-31,2500,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2031-12-31,3000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2032-12-31,3500,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2033-12-31,4000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2034-12-31,4500,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-001,2035-12-31,5000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2026-12-31,5,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2027-12-31,10,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2028-12-31,15,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2029-12-31,20,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2030-12-31,25,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2031-12-31,30,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2032-12-31,35,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2033-12-31,40,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2034-12-31,45,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-003,2035-12-31,50,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2026-12-31,20,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2027-12-31,40,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2028-12-31,60,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2029-12-31,80,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2030-12-31,100,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2031-12-31,120,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2032-12-31,140,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2033-12-31,160,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2034-12-31,180,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-004,2035-12-31,200,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2026-12-31,2,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2027-12-31,5,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2028-12-31,8,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2029-12-31,10,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2030-12-31,12,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2031-12-31,15,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2032-12-31,18,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2033-12-31,20,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2034-12-31,22,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-005,2035-12-31,25,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2026-12-31,500000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2027-12-31,1000000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2028-12-31,1500000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2029-12-31,2000000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2030-12-31,2500000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2031-12-31,3000000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2032-12-31,3500000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2033-12-31,4000000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2034-12-31,4500000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-006,2035-12-31,5000000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-007,2026-12-31,200000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-007,2027-12-31,400000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
KPI-007,2028-12-31,600000,FALSE,,,Linear default from 0 at 2026-01-01; replace with approved milestones
