ObjectiveId,PriorityId,Title,Provisional
SO-1.1,SP-01,Premier global hub for learning-systems leaders (5000+ credentialed or graduated by 2035),TRUE
SO-1.2,SP-01,Field-defining degrees at every level by 2029,TRUE
SO-1.3,SP-01,"Stackable ecosystem of credentials, minors, and service courses",TRUE
SO-1.4,SP-01,50 Fortune 500 learning leaders hold a CLL credential by 2035,TRUE
SO-2.1,SP-02,Physical spaces as regional learning hubs,TRUE
SO-2.2,SP-02,Global network of 200+ connected learning hubs by 2035,TRUE
SO-2.3,SP-02,Government and industry learning partnerships,TRUE
SO-2.4,SP-02,Entrepreneurship initiatives; 25 learning-tech start-ups with market adoption by 2035,TRUE
SO-3.1,SP-03,Credential 2 million unique learners globally,TRUE
SO-3.2,SP-03,Double GT 3-year graduation rate through Dual Enrollment by 2035,TRUE
SO-3.3,SP-03,Preferred GT non-credit platform on a proprietary ecosystem by 2030,TRUE
SO-3.4,SP-03,AI-accelerated content development; 35% annual content renewal,TRUE
SO-3.5,SP-03,Stackable interdisciplinary pathways with campus partners,TRUE
SO-3.6,SP-03,Digital credentialing platform,TRUE
SO-3.7,SP-03,Learning-performance metrics standard to replace seat time,TRUE
SO-4.1,SP-04,Preeminent research center for optimized learning systems,TRUE
SO-4.2,SP-04,Scalable personalized learning environments (small language models and emergent tech),TRUE
SO-4.3,SP-04,Agentic synthetic learners to model learning at scale,TRUE
SO-4.4,SP-04,"Research thought leadership shaping policy, standards, and practice",TRUE
SO-4.5,SP-04,ROI modeling for limitless learning,TRUE
SO-4.6,SP-04,$20M annual external research expenditures by 2035,TRUE
SO-5.1,SP-05,AI-driven operating backbone with continuously optimized processes,TRUE
SO-5.2,SP-05,Aspirational workplace,TRUE
SO-5.3,SP-05,Data-informed: interactive dashboards across every strategic objective,TRUE
SO-5.4,SP-05,Systems-learning and innovation culture,TRUE
